id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,shipping__logistic_type,shipping__mode,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA1112140771,Pileta Inflable Redonda Bestway Kiddie Lounge 51061 De 61cm X 15cm 21l Azul,623284-MLA53605777143_022023,gold_pro,https://www.mercadolibre.com.ar/pileta-inflable-redonda-bestway-kiddie-lounge-51061-de-61cm-x-15cm-21l-azul/p/MLA15763166,MLA11226,MLA-INFLATABLE_POOLS,1,1692.9,250,1,"['lightning_deal', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_out']",322650862,GLOBAL ROSS,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,510,10136,0.02,0.02,0.96,10646,60 days,2281,60 days,0.0025,6,60 days,0.0026,6,60 days,0.0,0,6,282.15,0.0,6833,4
MLA1275803410,Cry Babies Fantasy Dreamy Imc Toys 99180im,843969-MLA48269133730_112021,gold_special,https://www.mercadolibre.com.ar/cry-babies-fantasy-dreamy-imc-toys-99180im/p/MLA15084428,MLA2968,MLA-DOLLS,2,15990.0,200,100,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",355576322,MORA PAÑALERA,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,5078,118896,0.04,0.02,0.94,123974,60 days,22862,60 days,0.0075,179,60 days,0.0192,432,60 days,0.0056,135,6,3953.53,48.35,7223,4
MLA1109575910,Juego De Cartas Desconectados En Palabras,633026-MLA48408537360_122021,gold_special,https://www.mercadolibre.com.ar/juego-de-cartas-desconectados-en-palabras/p/MLA17840062,MLA1161,MLA-BOARD_GAMES,3,6499.0,5000,250,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_in']",701499356,ENPALABRAS,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,296,8172,0.03,0.0,0.97,8468,60 days,2395,60 days,0.0,1,60 days,0.0016,4,60 days,0.0,1,6,1606.88,48.35,6815,2
MLA1110677111,Juego De Mesa Código Secreto Czech Games Edition Devir,960516-MLA44936648183_022021,gold_special,https://www.mercadolibre.com.ar/juego-de-mesa-codigo-secreto-czech-games-edition-devir/p/MLA7853901,MLA1161,MLA-BOARD_GAMES,4,9500.0,250,1,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'standard_price_by_channel', 'brand_verified', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",98434282,INVICTVSJUEGOS,"['normal', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,994,22218,0.01,0.01,0.98,23212,60 days,3347,60 days,0.0008,3,60 days,0.0026,9,60 days,0.0014,5,6,2348.88,48.35,6822,16
MLA1240728057,Bellies Bebe Interactivo Beth Edic Especial Int 15145 Orig,994457-MLA49925702800_052022,gold_special,https://www.mercadolibre.com.ar/bellies-bebe-interactivo-beth-edic-especial-int-15145-orig/p/MLA19765898,MLA2968,MLA-DOLLS,5,21900.0,0,1,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",120806491,JUG.OSITO AZUL,"['brand', 'large_seller', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,608,11920,0.03,0.02,0.95,12528,60 days,1870,60 days,0.0025,5,60 days,0.0313,58,60 days,0.0142,28,6,5414.78,48.35,7200,10
MLA1108944811,Juego De Mesa Fantasma Blitz Zoch Zum Spielen Devir,788441-MLA46818974526_072021,gold_special,https://www.mercadolibre.com.ar/juego-de-mesa-fantasma-blitz-zoch-zum-spielen-devir/p/MLA7883593,MLA1161,MLA-BOARD_GAMES,6,6899.9,100,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in']",200611461,PHOTOPRINT_STORE,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,378,6392,0.05,0.03,0.92,6770,60 days,1527,60 days,0.0105,17,60 days,0.0212,32,60 days,0.008,13,6,1706.0,48.35,6810,7
MLA1164168440,Juego De Cartas A.t.r. Ahora Todos Reímos Buró,719737-MLA51168724015_082022,gold_special,https://www.mercadolibre.com.ar/juego-de-cartas-atr-ahora-todos-reimos-buro/p/MLA19538917,MLA1161,MLA-BOARD_GAMES,7,8091.0,250,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['MLA-chg-threshold-ago-22', 'self_service_in', 'mandatory_free_shipping']",148114094,MUNDO MANIAS,"['normal', 'credits_priority_4', 'credits_profile', 'eshop', 'mshops', 'medium_seller_advanced', 'messages_as_seller']",5_green,platinum,2261,64579,0.01,0.01,0.98,66840,60 days,14251,60 days,0.0008,13,60 days,0.0015,22,60 days,0.0004,6,6,2000.5,48.35,7132,9
MLA924307817, Ajedrez Profesional Staunton Plastigal 160,712088-MLA44676313815_012021,gold_special,https://www.mercadolibre.com.ar/ajedrez-profesional-staunton-plastigal-160/p/MLA16102093,MLA412670,MLA-BOARD_GAMES,8,9199.9,500,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",45691061,STORELELABSKYLIGHT,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,3375,62025,0.02,0.02,0.96,65400,60 days,9700,60 days,0.0091,94,60 days,0.0095,91,60 days,0.0089,92,6,2274.68,48.35,6675,18
MLA923773432,Juego De Mesa Rummy & Burako Clásico Ruibal 1056,946916-MLA51774945309_092022,gold_special,https://www.mercadolibre.com.ar/juego-de-mesa-rummy-burako-clasico-ruibal-1056/p/MLA6829078,MLA1161,MLA-BOARD_GAMES,9,5800.0,500,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,False,"['MLA-chg-threshold-ago-22', 'self_service_in']",45689688,TECNOPARAVOS,"['normal', 'credits_priority_4', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",5_green,platinum,631,20952,0.0,0.0,1.0,21583,60 days,3716,60 days,0.0031,12,60 days,0.0014,5,60 days,0.0,1,6,1434.05,48.35,7195,12
MLA1133264997,El Duende Azul Tomy Bebé En Cochecito,728513-MLA49643829193_042022,gold_special,https://www.mercadolibre.com.ar/el-duende-azul-tomy-bebe-en-cochecito/p/MLA13864214,MLA2968,MLA-DOLLS,10,4490.0,200,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'moderation_penalty', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-ago-22', 'self_service_in']",75694306,JUGUETERIA CEBRA,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,5829,126835,0.05,0.03,0.92,132664,60 days,22626,60 days,0.0045,109,60 days,0.0138,314,60 days,0.0029,69,6,1110.15,48.35,6993,13
