id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,variation_filters,shipping__logistic_type,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA631711675,Malla Generica Suunto Ambit 1 Amb 2 3 Colores Local Belgrano,688972-MLA46978616677_082021,gold_special,https://articulo.mercadolibre.com.ar/MLA-631711675-malla-generica-suunto-ambit-1-amb-2-3-colores-local-belgrano-_JM,MLA417313,MLA-WATCH_BANDS,20,6299.0,250,1,"['good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['COLOR'],cross_docking,False,False,['self_service_in'],99307065,MORITABIKE,"['normal', 'eshop', 'credits_profile', 'messages_as_seller']",5_green,platinum,1371,26880,0.01,0.01,0.98,28251,60 days,4475,60 days,0.0029,14,60 days,0.0055,25,60 days,0.0034,16,6,1557.43,48.35,4942,10
MLA670190098,Aros Argollas Plata 925 Y Piedras (le3728),696566-MLA53126668659_012023,gold_special,https://articulo.mercadolibre.com.ar/MLA-670190098-aros-argollas-plata-925-y-piedras-le3728-_JM,MLA1432,MLA-EARRINGS,21,3075.0,250,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['COLOR'],xd_drop_off,False,False,"['self_service_in', 'fs_threshold_mla_change_feb2021']",135499748,MGJOYASYRELOJES,"['normal', 'credits_priority_4', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,320,5302,0.0,0.03,0.97,5622,60 days,1119,60 days,0.0,2,60 days,0.0,0,60 days,0.0,0,6,760.29,48.35,5504,9
MLA835907593,Reloj Hombre Skmei 1506 Cronómetro Cta Regresiva Alarma Luz,809949-MLA40542320114_012020,gold_pro,https://articulo.mercadolibre.com.ar/MLA-835907593-reloj-hombre-skmei-1506-cronometro-cta-regresiva-alarma-luz-_JM,MLA1442,MLA-WRISTWATCHES,22,4199.0,150,50,"['3x_campaign', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['BACKGROUND_COLOR'],cross_docking,False,False,"['MLA-chg-threshold-ago-22', 'self_service_in']",230147390,MOLTS,"['normal', 'eshop', 'developer', 'credits_profile', 'messages_as_seller']",5_green,platinum,1287,15232,0.01,0.02,0.97,16519,60 days,3488,60 days,0.0042,16,60 days,0.0002,1,60 days,0.0015,6,3,1399.67,0.0,7285,6
MLA1138075354,"Smartwatch Dt No.1 Dt88 Pro 1.3  Caja 42mm De  Acero Inoxidable  Rose Gold, Malla  Rose Gold De  Acero Y Bisel De  Acero Inoxidable",851391-MLA49153816778_022022,gold_special,https://www.mercadolibre.com.ar/smartwatch-dt-no1-dt88-pro-13-caja-42mm-de-acero-inoxidable-rose-gold-malla-rose-gold-de-acero-y-bisel-de-acero-inoxidable/p/MLA18941089,MLA352679,MLA-SMARTWATCHES,23,22987.5,50,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,cross_docking,False,True,"['self_service_in', 'mandatory_free_shipping']",579732565,GIAN__K,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,1550,12525,0.07,0.05,0.88,14075,60 days,1109,60 days,0.0148,19,60 days,0.016,17,60 days,0.0148,19,6,5683.66,48.35,7297,2
MLA1132555089,Collar Dije 10 Futbol Messi Maradona Hombre Acero En Caja,995798-MLA49689742735_042022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1132555089-collar-dije-10-futbol-messi-maradona-hombre-acero-en-caja-_JM,MLA1436,MLA-NECKLACES,24,1221.06,25,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",['COLOR'],xd_drop_off,False,False,['self_service_in'],65729892,VLACK STORE,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,85,1744,0.04,0.05,0.91,1829,60 days,409,60 days,0.0,2,60 days,0.0462,19,60 days,0.0,1,6,301.91,48.35,6989,13
MLA921611487,Soldadura De Plata 40 % Para Joyeria,817746-MLA46099655340_052021,gold_special,https://articulo.mercadolibre.com.ar/MLA-921611487-soldadura-de-plata-40-para-joyeria-_JM,MLA7715,MLA-JEWELRY_TOOLS,25,1300.0,50,1,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,xd_drop_off,False,False,[],492099977,MONTERO.COM.AR,"['normal', 'credits_profile', 'messages_as_seller']",5_green,silver,31,665,0.0,0.01,0.99,696,60 days,106,60 days,0.0,1,60 days,0.103,10,60 days,0.0,0,6,321.43,48.35,6924,3
MLA839718738,Dije Cruz Orlada + Cadena 50cm + Estuche,735612-MLA50534754955_062022,gold_special,https://articulo.mercadolibre.com.ar/MLA-839718738-dije-cruz-orlada-cadena-50cm-estuche-_JM,MLA6312,MLA-CHARMS_AND_MEDALS,26,2599.0,50,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['COLOR'],xd_drop_off,False,False,['self_service_in'],64242458,SHIRIN BIJOUX,"['normal', 'eshop', 'mshops', 'credits_profile', 'credits_priority_2', 'messages_as_seller']",5_green,gold,67,1096,0.0,0.01,0.99,1163,60 days,184,60 days,0.0,0,60 days,0.0,0,60 days,0.0,0,6,642.6,48.35,6199,11
MLA1132939866,Reloj Q&q Niña Niño Sumergible Garantia Oficial,887988-MLA50526879621_062022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1132939866-reloj-qq-nina-nino-sumergible-garantia-oficial-_JM,MLA1442,MLA-WRISTWATCHES,27,6296.8,25,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['BACKGROUND_COLOR'],cross_docking,False,False,[],75414928,MEGATIME,"['normal', 'eshop', 'mshops', 'credits_priority_4', 'credits_profile', 'messages_as_seller']",5_green,platinum,816,11885,0.01,0.0,0.99,12701,60 days,2014,60 days,0.0027,6,60 days,0.0054,11,60 days,0.0,2,6,1556.88,48.35,6992,18
MLA931255566,Malla Compatible Galaxy Active 1/2 Galaxy Watch 3 41mm Local,764445-MLA46898813098_072021,gold_special,https://articulo.mercadolibre.com.ar/MLA-931255566-malla-compatible-galaxy-active-12-galaxy-watch-3-41mm-local-_JM,MLA417313,MLA-WATCH_BANDS,28,1999.0,100,250,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']","['WIDTH', 'COLOR', 'WIDTH', 'COLOR', 'COLOR', 'COLOR', 'WIDTH', 'COLOR', 'COLOR', 'WIDTH', 'COLOR', 'WIDTH', 'COLOR', 'COLOR']",cross_docking,False,False,['self_service_in'],99307065,MORITABIKE,"['normal', 'eshop', 'credits_profile', 'messages_as_seller']",5_green,platinum,1371,26880,0.01,0.01,0.98,28251,60 days,4475,60 days,0.0029,14,60 days,0.0055,25,60 days,0.0034,16,6,494.25,48.35,6726,10
MLA794864900,Reloj Hombre Skmei 1426 Crono Alarma Luz Sumergible Top,795213-MLA31655087454_082019,gold_pro,https://articulo.mercadolibre.com.ar/MLA-794864900-reloj-hombre-skmei-1426-crono-alarma-luz-sumergible-top-_JM,MLA1442,MLA-WRISTWATCHES,29,5198.7,5,50,"['brand_verified', 'catalog_listing_eligible', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']","['STRAP_COLOR', 'BEZEL_COLOR', 'BACKGROUND_COLOR']",cross_docking,False,False,"['MLA-chg-threshold-ago-22', 'self_service_in']",31568718,MULTICANNING,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,1901,31006,0.04,0.02,0.94,32907,60 days,6297,60 days,0.0047,32,60 days,0.0047,30,60 days,0.004,27,6,866.45,0.0,5961,12
