id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,shipping__logistic_type,shipping__mode,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__car_dealer,seller__tags,seller__car_dealer_logo,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA1280863644,Tarjeta De Memoria Sandisk Sdsqxcy-128g-gn6ma  Extreme Pro 128gb,675205-MLA40168752387_122019,gold_special,https://www.mercadolibre.com.ar/tarjeta-de-memoria-sandisk-sdsqxcy-128g-gn6ma-extreme-pro-128gb/p/MLA11547167,MLA9467,MLA-MEMORY_CARDS,11,11900.0,50,1,"['good_quality_thumbnail', 'standard_price_by_channel', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']",cross_docking,me2,False,True,['mandatory_free_shipping'],621229920,MARSTECHSRLMARSTECHSRL,False,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,435,7600,0.08,0.02,0.9,8035,60 days,2916,60 days,0.0055,17,60 days,0.0255,68,60 days,0.0068,21,6.0,2942.28,48.35,7229,2
MLA933687510, Gadnic Ck32 Camkid1x Compacta Color  Rosa ,957899-MLA46557830347_062021,gold_special,https://www.mercadolibre.com.ar/gadnic-ck32-camkid1x-compacta-color-rosa/p/MLA17972659,MLA1042,MLA-DIGITAL_CAMERAS,12,9949.0,500,1,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in', 'mandatory_free_shipping']",39144101,BIDCOM,False,"['normal', 'eshop', 'developer', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,20164,250456,0.06,0.03,0.91,270620,60 days,39258,60 days,0.0064,272,60 days,0.0044,175,60 days,0.0063,269,6.0,2459.89,48.35,6739,15
MLA909653955,Cámara Instantánea Fujifilm Instax Mini 11 Lilac Purple,884952-MLA42359217228_062020,gold_special,https://www.mercadolibre.com.ar/camara-instantanea-fujifilm-instax-mini-11-lilac-purple/p/MLA15728066,MLA1040,MLA-ANALOG_CAMERAS,13,54999.0,5,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",16053292,IMAGIC STORE,False,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,421,7554,0.01,0.0,0.99,7975,60 days,1942,60 days,0.0053,11,60 days,0.0041,8,60 days,0.0019,4,6.0,13598.5,48.35,6573,20
MLA1118178676,Impresora Simple Función Pantum P2509w Con Wifi Blanca 220v - 240v,617397-MLA48688048233_122021,gold_special,https://www.mercadolibre.com.ar/impresora-simple-funcion-pantum-p2509w-con-wifi-blanca-220v-240v/p/MLA18642566,MLA430383,MLA-PRINTERS,14,51999.0,50,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'mandatory_free_shipping']",680515,ALTAVISTA COMPUTACION,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1203,21109,0.02,0.01,0.97,22312,60 days,2322,60 days,0.0033,8,60 days,0.0,0,60 days,0.002,5,6.0,12856.75,48.35,7222,22
MLA1151915658,Impresora Simple Función Xerox Phaser 3020/bi Con Wifi Blanca Y Azul 220v - 240v,933053-MLA41241337999_032020,gold_special,https://www.mercadolibre.com.ar/impresora-simple-funcion-xerox-phaser-3020bi-con-wifi-blanca-y-azul-220v-240v/p/MLA15233711,MLA430383,MLA-PRINTERS,15,44999.0,500,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']",xd_drop_off,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",1054443617,OMNICHANNEL.AR,False,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,54,1255,0.25,0.0,0.75,1309,60 days,467,60 days,0.0082,4,60 days,0.0826,39,60 days,0.0061,3,6.0,11126.0,48.35,7106,1
MLA856344187,Tarjeta De Memoria Kingston Sdcs  Canvas Select Con Adaptador Sd 32gb,927143-MLA42003898015_052020,gold_special,https://www.mercadolibre.com.ar/tarjeta-de-memoria-kingston-sdcs-canvas-select-con-adaptador-sd-32gb/p/MLA10359999,MLA9467,MLA-MEMORY_CARDS,16,2590.0,500,50,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",drop_off,me2,False,False,[],680515,ALTAVISTA COMPUTACION,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1203,21109,0.02,0.01,0.97,22312,60 days,2322,60 days,0.0033,8,60 days,0.0,0,60 days,0.002,5,6.0,640.38,48.35,6290,22
MLA1133569367, Canon Eos Kit M50 Mark Ii + Lente Ef-m 15-45mm F/3.5-6.3 Is Stm Sin Espejo Color  Negro ,636123-MLA46518818047_062021,gold_special,https://www.mercadolibre.com.ar/canon-eos-kit-m50-mark-ii-lente-ef-m-15-45mm-f35-63-is-stm-sin-espejo-color-negro/p/MLA18116383,MLA1042,MLA-DIGITAL_CAMERAS,17,279092.07,50,1,"['good_quality_picture', 'good_quality_thumbnail', 'moderation_penalty', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,['mandatory_free_shipping'],78024526,IMPORTADORAFOTOGRAFICA,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'credits_priority_4', 'messages_as_seller']",,5_green,platinum,2993,62161,0.02,0.01,0.97,65154,60 days,6506,60 days,0.0025,17,60 days,0.0063,42,60 days,0.0007,5,6.0,69005.51,48.35,6994,18
MLA1256880227,Cámara Desechable Kodak Hd,891247-MLA40775458100_022020,gold_special,https://www.mercadolibre.com.ar/camara-desechable-kodak-hd/p/MLA15349567,MLA1040,MLA-ANALOG_CAMERAS,18,22000.0,5,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",xd_drop_off,me2,False,True,['mandatory_free_shipping'],94077486,LINARDIC,False,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",,5_green,gold,30,332,0.0,0.01,0.99,362,60 days,181,60 days,0.0,1,60 days,0.0,0,60 days,0.0,0,6.0,5439.5,48.35,7208,16
MLA1131589750,Cámara De Video Insta360 One X2 Standalone 5.7k Negra,742113-MLA45225631549_032021,gold_special,https://www.mercadolibre.com.ar/camara-de-video-insta360-one-x2-standalone-57k-negra/p/MLA17369492,MLA392132,MLA-VIDEO_CAMERAS,19,183068.0,100,100,"['good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",xd_drop_off,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",193139089,DIGITAL-ZOOM SRL,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,184,2867,0.01,0.02,0.97,3051,60 days,705,60 days,0.0054,4,60 days,0.0935,57,60 days,0.0,2,6.0,45263.56,48.35,6983,7
MLA647716286,Ocular Para Nikon Dk-21 D750 D610 D600  D7000 D90 D200 D80,617620-MLA31061847835_062019,gold_special,https://articulo.mercadolibre.com.ar/MLA-647716286-ocular-para-nikon-dk-21-d750-d610-d600-d7000-d90-d200-d80-_JM,MLA70304,MLA-PHOTOGRAPHY_ACCESSORIES_AND_SPARE_PARTS,20,799.0,250,50,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",xd_drop_off,me2,False,False,['self_service_in'],58660260,EXOTRON,False,"['normal', 'credits_active_borrower', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,126,3155,0.01,0.0,0.99,3281,60 days,699,60 days,0.0,1,60 days,0.0,0,60 days,0.0,0,6.0,197.55,48.35,5049,20
MLA1111715387,Funda Sumergible Protectora Agua Waterproof Bolsa De Celular,923829-MLA48574770731_122021,gold_special,https://articulo.mercadolibre.com.ar/MLA-1111715387-funda-sumergible-protectora-agua-waterproof-bolsa-de-celular-_JM,MLA17966,MLA-WATERPROOF_CAMERA_CASES,21,790.0,500,200,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_out']",47156637,TOYSPM,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,10961,176969,0.03,0.02,0.95,187930,60 days,38492,60 days,0.0043,177,60 days,0.003,121,60 days,0.0007,32,6.0,195.33,48.35,6831,18
MLA1164315263,Cámara Desechable Kodak Sport Azul/amarilla,697914-MLA46248646727_062021,gold_special,https://www.mercadolibre.com.ar/camara-desechable-kodak-sport-azulamarilla/p/MLA17325745,MLA1040,MLA-ANALOG_CAMERAS,22,17900.0,2,1,"['good_quality_picture', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",drop_off,me2,False,True,['mandatory_free_shipping'],114054812,FOTOS NINO,False,"['normal', 'credits_priority_4', 'credits_profile', 'eshop', 'messages_as_seller']",,5_green,,4,44,0.02,0.01,0.97,48,365 days,44,365 days,0.0,2,365 days,0.0,0,365 days,0.0,0,6.0,4425.78,48.35,7132,10
MLA919871973, Canon Eos Rebel Kit T7 + Lente 18-55mm Is Ii Dslr Color  Negro ,822322-MLA48551234826_122021,gold_special,https://www.mercadolibre.com.ar/canon-eos-rebel-kit-t7-lente-18-55mm-is-ii-dslr-color-negro/p/MLA10349179,MLA1042,MLA-DIGITAL_CAMERAS,23,224222.07,25,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'mandatory_free_shipping']",78024526,IMPORTADORAFOTOGRAFICA,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'credits_priority_4', 'messages_as_seller']",,5_green,platinum,2993,62161,0.02,0.01,0.97,65154,60 days,6506,60 days,0.0025,17,60 days,0.0063,42,60 days,0.0007,5,6.0,55438.91,48.35,6844,18
MLA933257814,Tarjeta De Memoria Kingston Sdcs2sp  Canvas Select Plus Con Adaptador Sd 128gb,852216-MLA43553973706_092020,gold_special,https://www.mercadolibre.com.ar/tarjeta-de-memoria-kingston-sdcs2sp-canvas-select-plus-con-adaptador-sd-128gb/p/MLA15916979,MLA9467,MLA-MEMORY_CARDS,24,5200.0,500,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",drop_off,me2,False,False,['MLA-chg-threshold-Feb-23'],680515,ALTAVISTA COMPUTACION,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1203,21109,0.02,0.01,0.97,22312,60 days,2322,60 days,0.0033,8,60 days,0.0,0,60 days,0.002,5,6.0,1285.7,48.35,6736,22
MLA1174275105,Tarjeta De Memoria Sandisk Sdsqunb-032g-gn3ma  Ultra Con Adaptador Sd 32gb,775365-MLA40353019307_012020,gold_special,https://www.mercadolibre.com.ar/tarjeta-de-memoria-sandisk-sdsqunb-032g-gn3ma-ultra-con-adaptador-sd-32gb/p/MLA14639668,MLA9467,MLA-MEMORY_CARDS,25,2625.0,200,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],91046830,JUSTSOLUTIONSA,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,2378,45429,0.02,0.01,0.97,47807,60 days,5432,60 days,0.0077,45,60 days,0.0041,23,60 days,0.0069,40,6.0,649.03,48.35,7147,17
MLA909247329,Cámara De Video Gadnic Sx10 4k Mcdep013 Ntsc/pal Negra,896016-MLA48051161179_102021,gold_special,https://www.mercadolibre.com.ar/camara-de-video-gadnic-sx10-4k-mcdep013-ntscpal-negra/p/MLA15698718,MLA392132,MLA-VIDEO_CAMERAS,26,37799.0,500,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",37133205,SALES COM,False,"['brand', 'large_seller', 'eshop', 'mshops', 'developer', 'credits_profile', 'messages_as_seller']",,5_green,platinum,49371,706813,0.05,0.03,0.92,756184,60 days,113015,60 days,0.0053,644,60 days,0.004,466,60 days,0.004,488,6.0,9345.8,48.35,6570,19
MLA885199351,Camara Fuji Instax Mini 11 Polaroid Selfie + Rollo 20 Fotos*,917106-MLA43852326651_102020,gold_special,https://articulo.mercadolibre.com.ar/MLA-885199351-camara-fuji-instax-mini-11-polaroid-selfie-rollo-20-fotos-_JM,MLA1040,MLA-ANALOG_CAMERAS,27,68840.0,500,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",16053292,IMAGIC STORE,False,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,421,7554,0.01,0.0,0.99,7975,60 days,1942,60 days,0.0053,11,60 days,0.0041,8,60 days,0.0019,4,6.0,17020.69,48.35,6448,20
MLA1233006843,Tarjeta De Memoria Kingston Sdcs2  Canvas Select Con Adaptador Sd 64gb,892085-MLA43471112292_092020,gold_special,https://www.mercadolibre.com.ar/tarjeta-de-memoria-kingston-sdcs2-canvas-select-con-adaptador-sd-64gb/p/MLA15703578,MLA9467,MLA-MEMORY_CARDS,28,3400.0,250,1,"['good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",drop_off,me2,False,False,[],680515,ALTAVISTA COMPUTACION,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1203,21109,0.02,0.01,0.97,22312,60 days,2322,60 days,0.0033,8,60 days,0.0,0,60 days,0.002,5,6.0,840.65,48.35,7195,22
MLA1146865205,Cámara Digital Fotos Compacta Niños Recargable + Juegos 32g,945205-MLA50725339609_072022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1146865205-camara-digital-fotos-compacta-ninos-recargable-juegos-32g-_JM,MLA1042,MLA-DIGITAL_CAMERAS,29,6499.0,500,50,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in']",188316739,ELECTRO LAND,False,"['normal', 'credits_priority_4', 'credits_profile', 'eshop', 'mshops', 'medium_seller', 'messages_as_seller']",,5_green,platinum,12344,195165,0.04,0.02,0.94,207509,60 days,45524,60 days,0.0072,348,60 days,0.0041,189,60 days,0.0032,157,6.0,1606.88,48.35,7077,7
MLA678063120,Tapa Lente 55mm Para Nikon Canon Microcentro,628771-MLA31585477083_072019,gold_special,https://articulo.mercadolibre.com.ar/MLA-678063120-tapa-lente-55mm-para-nikon-canon-microcentro-_JM,MLA69879,MLA-LENS_CAPS,30,1300.0,50,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",xd_drop_off,me2,False,False,['self_service_in'],58660260,EXOTRON,False,"['normal', 'credits_active_borrower', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,126,3155,0.01,0.0,0.99,3281,60 days,699,60 days,0.0,1,60 days,0.0,0,60 days,0.0,0,6.0,321.43,48.35,5278,20
MLA914852315,Cámara Instantánea Fujifilm Instax Mini 11 Blush Pink,831533-MLA42358390928_062020,gold_special,https://www.mercadolibre.com.ar/camara-instantanea-fujifilm-instax-mini-11-blush-pink/p/MLA15728062,MLA1040,MLA-ANALOG_CAMERAS,31,47912.0,25,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",193624441,INSTAXONLINE,False,"['brand', 'large_seller', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,gold,85,2071,0.01,0.03,0.96,2156,60 days,271,60 days,0.0,1,60 days,0.0073,2,60 days,0.0,2,6.0,11846.24,48.35,7146,7
