id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,shipping__logistic_type,shipping__mode,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__car_dealer,seller__tags,seller__car_dealer_logo,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA926762551,Cámara Instantánea Fujifilm Instax Mini 11 Ice White,788648-MLA42359217261_062020,gold_special,https://www.mercadolibre.com.ar/camara-instantanea-fujifilm-instax-mini-11-ice-white/p/MLA15728065,MLA1040,MLA-ANALOG_CAMERAS,1,54999.0,50,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",xd_drop_off,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",18025836,LRPC ELECTRONICA,False,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,173,5781,0.0,0.01,0.99,5954,60 days,716,60 days,0.0,0,60 days,0.0,0,60 days,0.0,2,6.0,13598.5,48.35,7242,15
MLA1205153058,Tarjeta De Memoria Sandisk Sdsqxcy-064g-gn6ma  Extreme Pro 64gb,665416-MLA40351780042_012020,gold_special,https://www.mercadolibre.com.ar/tarjeta-de-memoria-sandisk-sdsqxcy-064g-gn6ma-extreme-pro-64gb/p/MLA11547168,MLA9467,MLA-MEMORY_CARDS,2,7300.0,250,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,['fulfillment'],1093572823,FLASHBOXSASARGENTINA,False,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",,5_green,platinum,212,2847,0.08,0.03,0.89,3059,60 days,777,60 days,0.0,0,60 days,0.0,0,60 days,0.0,0,6.0,1804.93,48.35,7175,0
MLA1124760728, Sony Cyber-shot H300 Dsc-h300 Compacta Avanzada Color  Negro ,852025-MLA49434476863_032022,gold_special,https://www.mercadolibre.com.ar/sony-cyber-shot-h300-dsc-h300-compacta-avanzada-color-negro/p/MLA5513382,MLA1042,MLA-DIGITAL_CAMERAS,3,99999.0,50,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,True,['mandatory_free_shipping'],164352247,SONY ARGENTINA,False,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,3685,66227,0.04,0.02,0.94,69912,60 days,9106,60 days,0.0111,107,60 days,0.0219,190,60 days,0.0,0,6.0,24724.75,48.35,6936,8
MLA1259217110,Cámara De Video Noblex Acn1 4k Negra,863981-MLA42918720182_072020,gold_special,https://www.mercadolibre.com.ar/camara-de-video-noblex-acn1-4k-negra/p/MLA15457511,MLA392132,MLA-VIDEO_CAMERAS,4,19999.0,150,250,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']",cross_docking,me2,False,True,"['self_service_out', 'mandatory_free_shipping']",256324891,PI-VENTURES,False,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,6296,107521,0.06,0.07,0.87,113817,60 days,26994,60 days,0.0123,352,60 days,0.0312,617,60 days,0.0085,242,6.0,4944.75,48.35,7211,5
MLA673528318,Ocular Dk-25 Para Nikon D5500 D5300 D5200 D3300 D3200 D3100,773832-MLA31016831796_062019,gold_special,https://articulo.mercadolibre.com.ar/MLA-673528318-ocular-dk-25-para-nikon-d5500-d5300-d5200-d3300-d3200-d3100-_JM,MLA70304,MLA-PHOTOGRAPHY_ACCESSORIES_AND_SPARE_PARTS,5,899.0,200,50,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",xd_drop_off,me2,False,False,['self_service_in'],58660260,EXOTRON,False,"['normal', 'credits_active_borrower', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,126,3155,0.01,0.0,0.99,3281,60 days,699,60 days,0.0,1,60 days,0.0,0,60 days,0.0,0,6.0,222.28,48.35,5244,20
MLA926762708,Cámara Instantánea Fujifilm Instax Mini 11 Charcoal Gray,837006-MLA42359217246_062020,gold_special,https://www.mercadolibre.com.ar/camara-instantanea-fujifilm-instax-mini-11-charcoal-gray/p/MLA15728064,MLA1040,MLA-ANALOG_CAMERAS,6,54999.0,100,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']",xd_drop_off,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",18025836,LRPC ELECTRONICA,False,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,173,5781,0.0,0.01,0.99,5954,60 days,716,60 days,0.0,0,60 days,0.0,0,60 days,0.0,2,6.0,13598.5,48.35,7242,15
MLA931673463,Tarjeta De Memoria Sandisk Sdsquns-064g-gn3ma  Ultra Con Adaptador Sd 64gb,727425-MLA40174647934_122019,gold_special,https://www.mercadolibre.com.ar/tarjeta-de-memoria-sandisk-sdsquns-064g-gn3ma-ultra-con-adaptador-sd-64gb/p/MLA8859356,MLA9467,MLA-MEMORY_CARDS,7,4799.2,500,150,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,['fulfillment'],78024526,IMPORTADORAFOTOGRAFICA,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'credits_priority_4', 'messages_as_seller']",,5_green,platinum,2993,62161,0.02,0.01,0.97,65154,60 days,6506,60 days,0.0025,17,60 days,0.0063,42,60 days,0.0007,5,6.0,1186.6,48.35,6728,18
MLA1183931564, Canon Eos Rebel Kit T100 + Lente 18-55mm Iii Dslr Color  Negro ,842574-MLA40353899541_012020,gold_special,https://www.mercadolibre.com.ar/canon-eos-rebel-kit-t100-lente-18-55mm-iii-dslr-color-negro/p/MLA14690399,MLA1042,MLA-DIGITAL_CAMERAS,8,176800.0,5,1,"['good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",xd_drop_off,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",620084608,ANVELS.COM,False,"['normal', 'credits_profile', 'messages_as_seller']",,5_green,silver,32,462,0.01,0.0,0.99,494,60 days,113,60 days,0.0,0,60 days,0.0091,1,60 days,0.0,0,6.0,43713.8,48.35,7158,2
MLA1104589711,Cámara De Video Gadnic Extreme 10 4k Mcdep010 Ntsc/pal Gris,845368-MLA48690516376_122021,gold_special,https://www.mercadolibre.com.ar/camara-de-video-gadnic-extreme-10-4k-mcdep010-ntscpal-gris/p/MLA15698717,MLA392132,MLA-VIDEO_CAMERAS,9,29999.0,200,1,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",37133205,SALES COM,False,"['brand', 'large_seller', 'eshop', 'mshops', 'developer', 'credits_profile', 'messages_as_seller']",,5_green,platinum,49371,706813,0.05,0.03,0.92,756184,60 days,113015,60 days,0.0053,644,60 days,0.004,466,60 days,0.004,488,6.0,7417.25,48.35,6782,19
MLA886074104,Cámara Instantanea Fujifilm Instax Mini 11 Selfie + 20 Fotos,675116-MLA43877864250_102020,gold_special,https://articulo.mercadolibre.com.ar/MLA-886074104-camara-instantanea-fujifilm-instax-mini-11-selfie-20-fotos-_JM,MLA1040,MLA-ANALOG_CAMERAS,10,64999.0,500,150,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']",xd_drop_off,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",18025836,LRPC ELECTRONICA,False,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,173,5781,0.0,0.01,0.99,5954,60 days,716,60 days,0.0,0,60 days,0.0,0,60 days,0.0,2,6.0,16071.0,48.35,7163,15
