id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,shipping__logistic_type,shipping__mode,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA1217062070,La Puissance Fijador De Color Shampoo Cabello Teñido 300ml,736212-MLA48330306137_112021,gold_special,https://www.mercadolibre.com.ar/la-puissance-fijador-de-color-shampoo-cabello-tenido-300ml/p/MLA19700864,MLA414007,MLA-HAIR_SHAMPOOS_AND_CONDITIONERS,4,1975.0,5,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],50711088,FIGAROARGENTINA,"['normal', 'credits_profile', 'messages_as_seller']",5_green,platinum,574,15536,0.01,0.02,0.97,16110,60 days,2793,60 days,0.0065,19,60 days,0.0235,63,60 days,0.0013,4,6,488.32,48.35,7183,11
MLA1124095499,Brillo Labial Voluminizador Instantaneo Engrosador Progresiv,769377-MLA53083522508_122022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1124095499-brillo-labial-voluminizador-instantaneo-engrosador-progresiv-_JM,MLA43676,MLA-LIP_GLOSSES,5,2690.0,500,1,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",xd_drop_off,me2,False,False,['self_service_in'],193799559,IMPORTADOS.SHOP2016,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,275,4121,0.03,0.03,0.94,4396,60 days,963,60 days,0.0067,7,60 days,0.0091,9,60 days,0.0,1,6,665.1,48.35,6931,7
MLA1316669293,Viasek Gel Vaginal Lubricante Íntimo Hidrata Eurolab 100ml Sabor Original,790178-MLA51602578157_092022,gold_special,https://www.mercadolibre.com.ar/viasek-gel-vaginal-lubricante-intimo-hidrata-eurolab-100ml-sabor-original/p/MLA19956524,MLA400500,MLA-PERSONAL_LUBRICANTS_AND_GELS,6,2941.0,5,50,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],313043158,FARMABELÉN,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,4062,75822,0.03,0.02,0.95,79884,60 days,17486,60 days,0.0072,134,60 days,0.0234,396,60 days,0.0123,227,6,727.16,48.35,7267,4
MLA1150045796,Cicatricure Crema Corporal Hidratación Anti-estrias X400 Tipo De Envase Botella Dosificadora,972700-MLA46081698805_052021,gold_special,https://www.mercadolibre.com.ar/cicatricure-crema-corporal-hidratacion-anti-estrias-x400-tipo-de-envase-botella-dosificadora/p/MLA19509012,MLA392701,MLA-BODY_SKIN_CARE_PRODUCTS,7,1572.0,50,500,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,True,False,['self_service_in'],191047873,PEDIDOSFARMA,"['brand', 'large_seller', 'eshop', 'credits_profile', 'messages_as_seller']",5_green,platinum,10221,208269,0.02,0.02,0.96,218490,60 days,32650,60 days,0.0041,143,60 days,0.0464,1345,60 days,0.0064,220,6,388.68,48.35,7099,7
MLA1281451112,Crema Anti Brillo Color Claro Fps50 Loréal Paris Uv Defender,756053-MLA43834770885_102020,gold_special,https://www.mercadolibre.com.ar/crema-anti-brillo-color-claro-fps50-loreal-paris-uv-defender/p/MLA20023304,MLA392452,MLA-FACIAL_SKIN_CARE_PRODUCTS,8,2943.0,50,50,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,True,False,['self_service_out'],320396604,OPENFARMA,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",5_green,platinum,4541,76827,0.04,0.04,0.92,81368,60 days,15631,60 days,0.0039,65,60 days,0.031,432,60 days,0.0061,100,6,727.66,48.35,7230,4
MLA1229509420,Recortadora Philips Series 1000 Nt1620 Negra,976261-MLA48830954435_012022,gold_special,https://www.mercadolibre.com.ar/recortadora-philips-series-1000-nt1620-negra/p/MLA18714415,MLA5411,MLA-HAIR_CLIPPERS,9,4542.0,5,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",cross_docking,me2,False,False,[],648169674,AZKAR.ARGENTINA,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,1872,25642,0.08,0.03,0.89,27514,60 days,6329,60 days,0.0095,65,60 days,0.0435,266,60 days,0.0127,87,6,1123.01,48.35,7193,2
MLA1142411367,Joop! Homme Edt 200 ml Para  Hombre,994025-MLA45825899973_052021,gold_special,https://www.mercadolibre.com.ar/joop-homme-edt-200ml-para-hombre/p/MLA6165848,MLA1271,MLA-PERFUMES,10,22599.55,50,1,"['good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible']",drop_off,me2,False,True,['mandatory_free_shipping'],151738934,KOZBRAND,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,129,1698,0.05,0.0,0.95,1827,60 days,423,60 days,0.0111,5,60 days,0.0904,39,60 days,0.0111,5,6,5587.74,48.35,7046,9
MLA1316355224,Cicatricure Gold Lift Base De Maquillaje Tono Bronze X 30ml,873129-MLA48938368769_012022,gold_special,https://www.mercadolibre.com.ar/cicatricure-gold-lift-base-de-maquillaje-tono-bronze-x-30ml/p/MLA19951421,MLA29871,MLA-FOUNDATIONS,11,2440.99,5,1,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],313043158,FARMABELÉN,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,4062,75822,0.03,0.02,0.95,79884,60 days,17486,60 days,0.0072,134,60 days,0.0234,396,60 days,0.0123,227,6,603.53,48.35,7266,4
MLA1163826366,Faja Reductora Modeladora Cintura Corset Unisex 6 Hilera ,673171-MLA51443151779_092022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1163826366-faja-reductora-modeladora-cintura-corset-unisex-6-hilera-_JM,MLA393561,MLA-BODY_SHAPERS,12,1999.0,500,500,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],1176849,MONTOYA IMPORTADORA,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,5348,68779,0.1,0.04,0.86,74127,60 days,13767,60 days,0.011,165,60 days,0.0005,8,60 days,0.009,135,6,494.25,48.35,7131,16
MLA1165500115,Shampoo Alfaparf Semi Di Lino Moisture Nutritive En Botella De 250ml Por 1 Unidad,796693-MLA50802873146_072022,gold_special,https://www.mercadolibre.com.ar/shampoo-alfaparf-semi-di-lino-moisture-nutritive-en-botella-de-250ml-por-1-unidad/p/MLA19174231,MLA414007,MLA-HAIR_SHAMPOOS_AND_CONDITIONERS,13,2390.0,5,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'moderation_penalty', 'immediate_payment', 'cart_eligible']",cross_docking,me2,False,False,[],179981529,CERINI SHOP,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,233,9451,0.01,0.01,0.98,9684,60 days,1859,60 days,0.0015,3,60 days,0.0011,2,60 days,0.0046,9,6,590.93,48.35,7134,7
MLA1301700258,Crema De Tea Tree  Manuca Rosalina Just Swiss,923772-MLA53052459785_122022,gold_special,https://www.mercadolibre.com.ar/crema-de-tea-tree-manuca-rosalina-just-swiss/p/MLA20838376,MLA392701,MLA-BODY_SKIN_CARE_PRODUCTS,14,3986.0,5,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",xd_drop_off,me2,False,False,['self_service_in'],1126978249,AROMATERAPIA10,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,18,1055,0.0,0.0,1.0,1073,60 days,401,60 days,0.0,0,60 days,0.0,0,60 days,0.0,0,6,985.54,48.35,7253,0
MLA1223849110,Eximia Hydra Legere 3d Ultra Ligera Hidratante Para Pieles Normales A Mixtas Sensibles Tipo De Piel Mixta,900157-MLA43837834485_102020,gold_special,https://www.mercadolibre.com.ar/eximia-hydra-legere-3d-ultra-ligera-hidratante-para-pieles-normales-a-mixtas-sensibles-tipo-de-piel-mixta/p/MLA19567157,MLA392452,MLA-FACIAL_SKIN_CARE_PRODUCTS,15,4368.0,50,50,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],313043158,FARMABELÉN,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,4062,75822,0.03,0.02,0.95,79884,60 days,17486,60 days,0.0072,134,60 days,0.0234,396,60 days,0.0123,227,6,1079.99,48.35,7189,4
MLA1115076039,Secador De Pelo Ga.ma Italy Titanium Aura Nano Plata Y Rojo 220v - 240v,961185-MLA50511505021_062022,gold_pro,https://www.mercadolibre.com.ar/secador-de-pelo-gama-italy-titanium-aura-nano-plata-y-rojo-220v-240v/p/MLA15550787,MLA4597,MLA-HAIR_DRYERS,16,19999.0,5,1,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'mshops_3x_campaign', '3x_campaign', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",250211806,TIENDARAMONA BAIRES,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,851,21614,0.01,0.02,0.97,22465,60 days,3739,60 days,0.0007,3,60 days,0.0008,3,60 days,0.0015,6,3,6666.33,0.0,7183,5
MLA1168314018,Pestañas Nagaraku Natural Extensión Forma Y Eyelash Original,758353-MLA51540601521_092022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1168314018-pestanas-nagaraku-natural-extension-forma-y-eyelash-original-_JM,MLA389327,MLA-EYELASH_EXTENSIONS,17,2999.0,250,250,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],314805333,DD2REGALOS,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,22794,672488,0.05,0.03,0.92,695282,60 days,93700,60 days,0.0049,481,60 days,0.0022,212,60 days,0.0003,37,6,741.5,48.35,7139,4
MLA1141344644,Natura Homem Tato Deo Parfum 100 ml Para  Hombre,851443-MLA49923089535_052022,gold_special,https://www.mercadolibre.com.ar/natura-homem-tato-deo-parfum-100ml-para-hombre/p/MLA19085683,MLA1271,MLA-PERFUMES,18,8800.0,50,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,True,"['MLA-chg-threshold-ago-22', 'mandatory_free_shipping']",58684913,HAMGREEN,"['normal', 'credits_priority_4', 'eshop', 'credits_profile', 'messages_as_seller']",5_green,platinum,380,8873,0.01,0.0,0.99,9253,60 days,1468,60 days,0.0019,3,60 days,0.0,0,60 days,0.0,2,6,2175.8,48.35,7040,20
MLA1285863643,Mascara Matizadora Violeta Opcion Cabello Rubios-grises 500g,653738-MLA50594318074_072022,gold_special,https://www.mercadolibre.com.ar/mascara-matizadora-violeta-opcion-cabello-rubios-grises-500g/p/MLA20779014,MLA29893,MLA-HAIR_TREATMENTS,19,2774.0,0,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],616329242,GTCOSMETICA,"['normal', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,892,15562,0.09,0.02,0.89,16454,60 days,2483,60 days,0.0096,25,60 days,0.0139,34,60 days,0.0096,25,6,685.87,48.35,7235,2
MLA1152530564,Bagovit Acondicionador Reparacion Intensiva 350 Ml,742715-MLA48945490336_012022,gold_special,https://www.mercadolibre.com.ar/bagovit-acondicionador-reparacion-intensiva-350-ml/p/MLA19504737,MLA414007,MLA-HAIR_SHAMPOOS_AND_CONDITIONERS,20,770.11,5,1,"['moderation_penalty', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],232191059,FARMACIA SAN-PEDRITO,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,1384,33845,0.01,0.01,0.98,35229,60 days,6247,60 days,0.0021,14,60 days,0.0212,118,60 days,0.005,33,6,190.41,48.35,7107,6
