id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,shipping__logistic_type,shipping__mode,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__car_dealer,seller__tags,seller__car_dealer_logo,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA883257139,Set Caja De Herramientas Pektra 159 Piezas Con Maletin ,693294-MLA49714318912_042022,gold_special,https://articulo.mercadolibre.com.ar/MLA-883257139-set-caja-de-herramientas-pektra-159-piezas-con-maletin-_JM,MLA372028,MLA-COMBINED_TOOL_SETS,11,8499.0,500,50,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",179035500,HIDROAL,False,"['normal', 'credits_profile', 'eshop', 'medium_seller', 'mshops', 'messages_as_seller']",,5_green,platinum,5838,75292,0.06,0.04,0.9,81130,60 days,11479,60 days,0.0117,145,60 days,0.0092,89,60 days,0.0136,169,6,2101.38,48.35,6434,7
MLA1344844708,Equipo Pistola Pintar Eléctrico Lusqtoff Htep-1007 600w,867829-MLA45652417779_042021,gold_pro,https://www.mercadolibre.com.ar/equipo-pistola-pintar-electrico-lusqtoff-htep-1007-600w/p/MLA21411003,MLA433705,MLA-PAINT_MACHINES,12,25840.0,1,150,"['extended_warranty_eligible', 'good_quality_thumbnail', 'lightning_deal', 'mshops_3x_campaign', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",265484143,PIDEWEB,False,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",,5_green,platinum,11543,260726,0.04,0.03,0.93,272269,60 days,41551,60 days,0.0091,400,60 days,0.0067,270,60 days,0.0009,41,6,4306.67,0.0,7291,5
MLA1151962439,Hidrolavadora Eléctrica Lüsqtoff Hl-120 Naranja Y Negra De 1200w Con 105bar De Presión Máxima 220v - 50hz,891446-MLA51984824749_102022,gold_pro,https://www.mercadolibre.com.ar/hidrolavadora-electrica-lusqtoff-hl-120-naranja-y-negra-de-1200w-con-105bar-de-presion-maxima-220v-50hz/p/MLA13121234,MLA30840,MLA-ELECTRIC_PRESSURE_WASHERS,13,23999.0,25,250,"['brand_verified', 'deal_of_the_day', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'mshops_ahora-6', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",174556876,OVERHARD DIGITAL,False,"['normal', 'credits_priority_4', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,17853,283044,0.05,0.04,0.91,300897,60 days,37700,60 days,0.0089,358,60 days,0.0144,526,60 days,0.0048,192,6,3999.83,0.0,7106,8
MLA1276177863, Bordeadora Philco Mjpbo116 Color Verde 230v-240v,930663-MLA42996177939_082020,gold_special,https://www.mercadolibre.com.ar/bordeadora-philco-mjpbo116-color-verde-230v-240v/p/MLA15845621,MLA411878,MLA-ELECTRIC_BRUSH_CUTTERS_AND_STRING_TRIMMERS,14,9199.0,500,1,"['good_quality_picture', 'good_quality_thumbnail', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in', 'mandatory_free_shipping']",4641264,PHOTOSTORE,False,"['normal', 'eshop', 'mshops', 'medium_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,18644,279164,0.06,0.03,0.91,297808,60 days,49375,60 days,0.0119,624,60 days,0.0035,176,60 days,0.008,420,6,2274.45,48.35,7237,21
MLA1124933654,Juego Set Kit Destornilladores Celulares Tablet Electronica,883476-MLA49235651874_022022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1124933654-juego-set-kit-destornilladores-celulares-tablet-electronica-_JM,MLA372030,MLA-SCREWDRIVERS_SETS,15,6299.1,500,250,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in']",31568718,MULTICANNING,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1901,31006,0.04,0.02,0.94,32907,60 days,6297,60 days,0.0047,32,60 days,0.0047,30,60 days,0.004,27,6,1557.45,48.35,6937,12
MLA1144529169,Taladro Percutor Inalámbrico De 13mm Hamilton Ult111 20v + Accesorios Con Maletín De Transporte 220v - 240v 50hz,940549-MLA42693899652_072020,gold_special,https://www.mercadolibre.com.ar/taladro-percutor-inalambrico-de-13mm-hamilton-ult111-20v-accesorios-con-maletin-de-transporte-220v-240v-50hz/p/MLA15754737,MLA5232,MLA-ELECTRIC_DRILLS,16,40318.0,5,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'moderation_penalty', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",90394911,EXTINGNORTE,False,"['normal', 'eshop', 'developer', 'mshops', 'messages_as_seller']",,5_green,platinum,5918,87758,0.01,0.01,0.98,93676,60 days,18815,60 days,0.0089,182,60 days,0.0027,51,60 days,0.0046,95,6,9968.63,48.35,7060,13
MLA900422956,Set X124 Herramientas Manuales Bmt124c-ar Black+decker,895171-MLA44284592969_122020,gold_special,https://articulo.mercadolibre.com.ar/MLA-900422956-set-x124-herramientas-manuales-bmt124c-ar-blackdecker-_JM,MLA372028,MLA-COMBINED_TOOL_SETS,17,8990.0,5000,250,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",drop_off,me2,False,True,['mandatory_free_shipping'],429531518,SBD ARGENTINA,False,"['brand', 'large_seller', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1328,22789,0.23,0.02,0.75,24117,60 days,1226,60 days,0.0,0,60 days,0.0,0,60 days,0.0,0,6,2222.78,48.35,6495,3
MLA911601645,Cortadora De Pasto Eléctrica Philco Mjpcd116 Con Bolsa Recolectora De 1300w Y 220v Verde Y Negra,739493-MLA40098771460_122019,gold_special,https://www.mercadolibre.com.ar/cortadora-de-pasto-electrica-philco-mjpcd116-con-bolsa-recolectora-de-1300w-y-220v-verde-y-negra/p/MLA9656127,MLA435149,MLA-ELECTRIC_LAWN_MOWERS,18,33990.0,500,250,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_out', 'mandatory_free_shipping']",184198511,TIENDASUR.,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,6427,128463,0.02,0.02,0.96,134890,60 days,23990,60 days,0.0054,138,60 days,0.0936,2020,60 days,0.0022,58,6,8404.03,48.35,6588,5
MLA934320349,Nivel Láser De Línea Fixit Level Pro 3 2.5m,980532-MLA46196500698_052021,gold_special,https://www.mercadolibre.com.ar/nivel-laser-de-linea-fixit-level-pro-3-25m/p/MLA12367551,MLA372006,MLA-LASER_LEVELS,19,1999.0,5000,1,"['loyalty_discount_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_out']",13647702,LIBERCAM,False,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'credits_priority_4', 'messages_as_seller']",,5_green,platinum,51193,844185,0.05,0.02,0.93,895378,60 days,125253,60 days,0.0077,1032,60 days,0.0001,23,60 days,0.0,2,6,494.25,48.35,6743,11
MLA1138737586,Taladro Inalámbrico De 10mm Black+decker Cd121k 12v + Accesorios Con Maletín De Transporte,938978-MLA42786643906_072020,gold_special,https://www.mercadolibre.com.ar/taladro-inalambrico-de-10mm-blackdecker-cd121k-12v-accesorios-con-maletin-de-transporte/p/MLA15727223,MLA5232,MLA-ELECTRIC_DRILLS,20,17920.0,150,1,"['good_quality_thumbnail', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'mandatory_free_shipping']",608846165,MERCADOLIBRE ELECTRONICA_AR,False,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,47430,759391,0.09,0.02,0.89,806821,60 days,101804,60 days,0.0098,1062,60 days,0.0,0,60 days,0.0,0,6,4430.72,48.35,7145,2
MLA1113989558,Maletín Herramientas Manuales Black+decker - 124 Piezas,913716-MLA48365613287_112021,gold_special,https://articulo.mercadolibre.com.ar/MLA-1113989558-maletin-herramientas-manuales-blackdecker-124-piezas-_JM,MLA372028,MLA-COMBINED_TOOL_SETS,21,13999.0,500,1,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",drop_off,me2,False,True,['mandatory_free_shipping'],316645236,ATHENAS FAR,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,165,3751,0.01,0.02,0.97,3916,60 days,704,60 days,0.0,2,60 days,0.0042,3,60 days,0.0,0,6,3461.25,48.35,6848,4
MLA1102462898,Probador Inyectores Diesel Banco Prueba Tobera Common Rail,811464-MLA47427223436_092021,gold_special,https://articulo.mercadolibre.com.ar/MLA-1102462898-probador-inyectores-diesel-banco-prueba-tobera-common-rail-_JM,MLA30756,MLA-TOOL_AND_CONSTRUCTION_SUPPLIES,22,72682.02,50,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",226262026,MECANO TOOLS,False,"['normal', 'credits_priority_4', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1852,55382,0.01,0.0,0.99,57234,60 days,9220,60 days,0.0013,13,60 days,0.0013,13,60 days,0.0003,3,6,17970.63,48.35,6769,6
MLA828627033,Medidor Laser 40 Mts. De Distancia Nivel Metrica Tawak Sf,967979-MLA51461609934_092022,gold_special,https://articulo.mercadolibre.com.ar/MLA-828627033-medidor-laser-40-mts-de-distancia-nivel-metrica-tawak-sf-_JM,MLA30764,MLA-LASER_MEASURES,23,6999.0,500,250,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in']",381905650,SF ONLINESRL,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,2007,53636,0.02,0.02,0.96,55643,60 days,7102,60 days,0.004,30,60 days,0.0025,18,60 days,0.001,8,6,1730.5,48.35,6552,3
MLA1337931904,Taladro Percutor Eléctrico De 13mm Stanley Sdh600 600w + Accesorios 220v 50hz,987171-MLA40773190980_022020,gold_pro,https://www.mercadolibre.com.ar/taladro-percutor-electrico-de-13mm-stanley-sdh600-600w-accesorios-220v-50hz/p/MLA15355090,MLA5232,MLA-ELECTRIC_DRILLS,24,18700.0,5,1,"['3x_campaign', 'extended_warranty_eligible', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'mandatory_free_shipping']",608846165,MERCADOLIBRE ELECTRONICA_AR,False,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,47430,759391,0.09,0.02,0.89,806821,60 days,101804,60 days,0.0098,1062,60 days,0.0,0,60 days,0.0,0,3,6233.33,0.0,7292,2
MLA914054955,Kit Destornillador Telefono Celular iPhone Samsung Tablet Pc,675117-MLA51062544128_082022,gold_special,https://articulo.mercadolibre.com.ar/MLA-914054955-kit-destornillador-telefono-celular-iphone-samsung-tablet-pc-_JM,MLA372030,MLA-SCREWDRIVERS_SETS,25,6099.0,500,500,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_out']",13647702,LIBERCAM,False,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'credits_priority_4', 'messages_as_seller']",,5_green,platinum,51193,844185,0.05,0.02,0.93,895378,60 days,125253,60 days,0.0077,1032,60 days,0.0001,23,60 days,0.0,2,6,1507.98,48.35,6641,11
MLA1224477766,Soldadora Inverter Para Electrodo Mma 100 Amp Gladiator Color Gris,804223-MLA52051679271_102022,gold_special,https://www.mercadolibre.com.ar/soldadora-inverter-para-electrodo-mma-100-amp-gladiator-color-gris/p/MLA19770534,MLA5231,MLA-WELDING_MACHINES,26,18050.0,500,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",308123574,COLLINSHERRAMIENTAS,False,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,1915,29752,0.05,0.02,0.93,31667,60 days,6969,60 days,0.0076,57,60 days,0.0167,109,60 days,0.004,30,6,4462.86,48.35,7189,4
MLA1126008113,Juego Set Herramientas Manuales Philco Sh78 74 Piezas Maleta,629963-MLA49277833572_032022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1126008113-juego-set-herramientas-manuales-philco-sh78-74-piezas-maleta-_JM,MLA372028,MLA-COMBINED_TOOL_SETS,27,28890.0,500,500,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",184198511,TIENDASUR.,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,6427,128463,0.02,0.02,0.96,134890,60 days,23990,60 days,0.0054,138,60 days,0.0936,2020,60 days,0.0022,58,6,7143.05,48.35,6945,5
MLA931084145,Amoladora Angular Dewalt Dwe4010 De 50 hz Amarilla 700 w 220 v + Accesorio,984542-MLA46237611933_062021,gold_special,https://www.mercadolibre.com.ar/amoladora-angular-dewalt-dwe4010-de-50hz-amarilla-700w-220v-accesorio/p/MLA15288419,MLA5229,MLA-POWER_GRINDERS,28,19380.0,25,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",388853735,GOOD TOOLS,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,,125,2525,0.02,0.0,0.98,2650,60 days,323,60 days,0.0146,5,60 days,0.003,1,60 days,0.0116,4,6,4791.7,48.35,6725,4
MLA1329319036,Taladro Percutor 13mm Reversible Vel. Variable 550 W Energy,916601-MLA51479205986_092022,gold_special,https://www.mercadolibre.com.ar/taladro-percutor-13mm-reversible-vel-variable-550-w-energy/p/MLA20543688,MLA5232,MLA-ELECTRIC_DRILLS,29,6400.0,5,1,"['extended_warranty_eligible', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in']",308123574,COLLINSHERRAMIENTAS,False,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",,5_green,platinum,1915,29752,0.05,0.02,0.93,31667,60 days,6969,60 days,0.0076,57,60 days,0.0167,109,60 days,0.004,30,6,1582.4,48.35,7278,4
MLA1233121755, Bordeadora Trapp Master 1000l Color Verde Y Negro 220v,817770-MLA46221843602_052021,gold_pro,https://www.mercadolibre.com.ar/bordeadora-trapp-master-1000l-color-verde-y-negro-220v/p/MLA15933365,MLA411878,MLA-ELECTRIC_BRUSH_CUTTERS_AND_STRING_TRIMMERS,30,15918.4,5,500,"['good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",1715728,COLUCCI EQUIPAMIENTO,False,"['normal', 'eshop', 'mshops', 'medium_seller_advanced', 'credits_profile', 'messages_as_seller']",,5_green,platinum,3629,66137,0.03,0.02,0.95,69766,60 days,12527,60 days,0.0094,125,60 days,0.0109,128,60 days,0.0051,68,6,2653.07,0.0,7196,16
